#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 9.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 0.9208747  3.6954  1.8855  2.2502  0.337  0.133  0.773  0.476  0.945  1.560  2.063  2.169  2.245  2.826  3.5610E-01  1.8833E-01  1.0611E-01
 0.9210495  3.6925  1.9449  2.1793  0.195  0.157  0.789  0.482  0.955  1.575  2.084  2.190  2.268  2.851  3.3410E-01  1.7662E-01  9.9482E-02
 0.9212088  3.6895  2.0037  2.1086  0.054  0.185  0.807  0.488  0.964  1.590  2.104  2.212  2.291  2.877  4.5730E-01  2.4162E-01  1.3605E-01
 0.9215068  3.6873  2.0537  2.0499 -0.067  0.208  0.821  0.492  0.971  1.601  2.119  2.228  2.308  2.895  4.6190E-01  2.4391E-01  1.3728E-01
 0.9216707  3.6842  2.1116  1.9797 -0.205  0.240  0.841  0.499  0.981  1.617  2.140  2.250  2.333  2.922  2.6490E-01  1.3982E-01  7.8669E-02
 0.9217717  3.6810  2.1691  1.9094 -0.341  0.275  0.862  0.505  0.992  1.634  2.163  2.275  2.360  2.951  1.8830E-01  9.9359E-02  5.5893E-02
 0.9218590  3.6776  2.2259  1.8391 -0.473  0.312  0.885  0.513  1.005  1.655  2.190  2.303  2.391  2.984  1.6750E-01  8.8364E-02  4.9700E-02
 0.9219392  3.6743  2.2824  1.7694 -0.603  0.349  0.906  0.521  1.018  1.677  2.219  2.334  2.423  3.019  1.5110E-01  7.9696E-02  4.4818E-02
 0.9220101  3.6708  2.3382  1.6997 -0.729  0.391  0.930  0.529  1.034  1.703  2.253  2.369  2.460  3.059  1.3540E-01  7.1402E-02  4.0149E-02
 0.9220746  3.6673  2.3940  1.6299 -0.853  0.435  0.955  0.538  1.049  1.731  2.289  2.406  2.499  3.101  1.2340E-01  6.5063E-02  3.6580E-02
 0.9221335  3.6638  2.4498  1.5601 -0.975  0.481  0.980  0.548  1.066  1.761  2.328  2.446  2.541  3.145  1.1170E-01  5.8885E-02  3.3104E-02
 0.9221863  3.6602  2.5050  1.4905 -1.093  0.530  1.007  0.558  1.085  1.793  2.369  2.489  2.586  3.193  1.0050E-01  5.2974E-02  2.9777E-02
 0.9222340  3.6565  2.5598  1.4210 -1.209  0.580  1.035  0.570  1.106  1.828  2.414  2.535  2.634  3.244  9.1100E-02  4.8013E-02  2.6987E-02
 0.9222774  3.6529  2.6146  1.3518 -1.323  0.628  1.063  0.584  1.129  1.863  2.458  2.581  2.682  3.296  8.2200E-02  4.3318E-02  2.4346E-02
 0.9223162  3.6492  2.6688  1.2828 -1.433  0.677  1.092  0.599  1.156  1.900  2.505  2.630  2.734  3.352  7.4100E-02  3.9045E-02  2.1943E-02
 0.9223515  3.6453  2.7223  1.2137 -1.536  0.730  1.124  0.619  1.188  1.941  2.555  2.685  2.791  3.416  6.6800E-02  3.5196E-02  1.9778E-02
 0.9223830  3.6415  2.7758  1.1450 -1.638  0.783  1.155  0.640  1.224  1.983  2.607  2.741  2.849  3.481  6.0800E-02  3.2032E-02  1.7999E-02
 0.9224123  3.6376  2.8289  1.0763 -1.735  0.838  1.188  0.662  1.262  2.027  2.661  2.801  2.911  3.550  5.6000E-02  2.9501E-02  1.6576E-02
 0.9224390  3.6336  2.8815  1.0078 -1.828  0.895  1.222  0.686  1.303  2.076  2.720  2.865  2.977  3.624  5.0900E-02  2.6812E-02  1.5065E-02
 0.9224632  3.6297  2.9340  0.9397 -1.920  0.950  1.255  0.707  1.341  2.125  2.780  2.930  3.044  3.698  4.6600E-02  2.4546E-02  1.3791E-02
 0.9224856  3.6257  2.9864  0.8713 -2.009  1.007  1.288  0.726  1.377  2.178  2.845  2.998  3.114  3.775  4.3500E-02  2.2911E-02  1.2872E-02
 0.9225067  3.6217  3.0387  0.8030 -2.097  1.064  1.321  0.744  1.412  2.233  2.912  3.067  3.187  3.854  3.9600E-02  2.0856E-02  1.1717E-02
 0.9225252  3.6177  3.0910  0.7347 -2.183  1.121  1.354  0.760  1.446  2.291  2.982  3.140  3.261  3.935  3.7000E-02  1.9486E-02  1.0947E-02
 0.9225437  3.6137  3.1433  0.6664 -2.266  1.179  1.387  0.777  1.481  2.352  3.056  3.215  3.339  4.020  4.2400E-02  2.2329E-02  1.2543E-02
 0.9225676  3.6097  3.1960  0.5977 -2.346  1.237  1.421  0.795  1.518  2.417  3.133  3.295  3.422  4.110  5.0500E-02  2.6593E-02  1.4938E-02
 0.9225942  3.6058  3.2490  0.5291 -2.424  1.293  1.456  0.815  1.558  2.484  3.213  3.378  3.507  4.204  5.3300E-02  2.8065E-02  1.5764E-02
 0.9226209  3.6019  3.3020  0.4605 -2.496  1.348  1.492  0.838  1.605  2.556  3.298  3.466  3.599  4.305  2.6700E-02  1.4058E-02  7.8963E-03
