#Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
#age(Gyr)= 8.000 140 points
#  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 
 0.9544061  3.6778  2.2565  1.8244 -0.550  0.312  0.884  0.513  1.004  1.654  2.188  2.302  2.389  2.982  1.8180E-01  8.8398E-02  4.6952E-02
 0.9544923  3.6743  2.3142  1.7527 -0.682  0.351  0.907  0.521  1.019  1.677  2.219  2.334  2.423  3.019  1.6330E-01  7.9386E-02  4.2159E-02
 0.9545694  3.6708  2.3711  1.6818 -0.811  0.393  0.931  0.530  1.034  1.703  2.253  2.369  2.460  3.059  1.4760E-01  7.1740E-02  3.8094E-02
 0.9546399  3.6672  2.4282  1.6104 -0.938  0.438  0.956  0.539  1.051  1.732  2.290  2.408  2.501  3.102  1.3380E-01  6.5021E-02  3.4522E-02
 0.9547032  3.6636  2.4847  1.5395 -1.061  0.486  0.983  0.549  1.068  1.763  2.330  2.449  2.544  3.148  1.2020E-01  5.8403E-02  3.1005E-02
 0.9547601  3.6599  2.5408  1.4686 -1.181  0.536  1.010  0.560  1.087  1.797  2.373  2.493  2.590  3.197  1.0850E-01  5.2711E-02  2.7980E-02
 0.9548117  3.6562  2.5966  1.3980 -1.298  0.587  1.038  0.572  1.108  1.832  2.418  2.539  2.638  3.248  9.7800E-02  4.7506E-02  2.5215E-02
 0.9548579  3.6524  2.6521  1.3274 -1.413  0.637  1.068  0.586  1.133  1.869  2.465  2.588  2.690  3.304  8.7900E-02  4.2693E-02  2.2658E-02
 0.9548996  3.6485  2.7072  1.2567 -1.523  0.690  1.099  0.603  1.162  1.908  2.514  2.641  2.744  3.364  7.8800E-02  3.8269E-02  2.0309E-02
 0.9549367  3.6446  2.7617  1.1866 -1.629  0.743  1.131  0.623  1.195  1.949  2.565  2.696  2.802  3.428  7.1100E-02  3.4526E-02  1.8322E-02
 0.9549707  3.6406  2.8158  1.1165 -1.730  0.799  1.164  0.645  1.233  1.994  2.620  2.755  2.864  3.497  6.6000E-02  3.2047E-02  1.7005E-02
 0.9550027  3.6366  2.8696  1.0467 -1.827  0.856  1.198  0.669  1.273  2.040  2.677  2.818  2.928  3.569  6.0000E-02  2.9131E-02  1.5457E-02
 0.9550307  3.6326  2.9233  0.9770 -1.922  0.913  1.232  0.692  1.313  2.089  2.736  2.882  2.995  3.643  5.4700E-02  2.6556E-02  1.4090E-02
 0.9550574  3.6285  2.9769  0.9071 -2.014  0.971  1.267  0.713  1.353  2.142  2.800  2.951  3.066  3.721  5.0400E-02  2.4467E-02  1.2981E-02
 0.9550811  3.6245  3.0303  0.8377 -2.106  1.028  1.300  0.732  1.389  2.196  2.866  3.019  3.137  3.799  4.6600E-02  2.2621E-02  1.2001E-02
 0.9551040  3.6204  3.0837  0.7679 -2.195  1.086  1.334  0.750  1.424  2.253  2.936  3.092  3.212  3.880  4.2800E-02  2.0775E-02  1.1021E-02
 0.9551239  3.6163  3.1372  0.6980 -2.281  1.146  1.368  0.767  1.459  2.314  3.009  3.167  3.289  3.965  3.9800E-02  1.9318E-02  1.0248E-02
 0.9551438  3.6123  3.1908  0.6284 -2.366  1.204  1.402  0.785  1.495  2.376  3.084  3.244  3.369  4.052  4.6500E-02  2.2569E-02  1.1972E-02
 0.9551704  3.6083  3.2447  0.5585 -2.448  1.262  1.437  0.803  1.534  2.443  3.163  3.326  3.453  4.144  5.6400E-02  2.7372E-02  1.4519E-02
 0.9552002  3.6043  3.2989  0.4883 -2.525  1.320  1.473  0.824  1.577  2.513  3.247  3.413  3.543  4.243  2.9800E-02  1.4462E-02  7.6709E-03
